#          r               U
     0.9908885E+00     0.8966434E-09
     0.9909129E+00     0.8966212E-09
     0.9909374E+00     0.8965991E-09
     0.9909619E+00     0.8965769E-09
     0.9909865E+00     0.8965547E-09
     0.9910110E+00     0.8965325E-09
     0.9910357E+00     0.8965102E-09
     0.9910603E+00     0.8964879E-09
     0.9910849E+00     0.8964656E-09
     0.9911096E+00     0.8964433E-09
     0.9911343E+00     0.8964210E-09
     0.9911591E+00     0.8963986E-09
     0.9911838E+00     0.8963762E-09
     0.9912086E+00     0.8963538E-09
     0.9912334E+00     0.8963313E-09
     0.9912583E+00     0.8963089E-09
     0.9912831E+00     0.8962864E-09
     0.9913080E+00     0.8962639E-09
     0.9913329E+00     0.8962414E-09
     0.9913579E+00     0.8962188E-09
     0.9913828E+00     0.8961962E-09
     0.9914078E+00     0.8961736E-09
     0.9914329E+00     0.8961510E-09
     0.9914579E+00     0.8961284E-09
     0.9914830E+00     0.8961057E-09
     0.9915081E+00     0.8960830E-09
     0.9915332E+00     0.8960603E-09
     0.9915583E+00     0.8960376E-09
     0.9915835E+00     0.8960149E-09
     0.9916087E+00     0.8959921E-09
     0.9916339E+00     0.8959693E-09
     0.9916592E+00     0.8959465E-09
     0.9916845E+00     0.8959237E-09
     0.9917098E+00     0.8959008E-09
     0.9917351E+00     0.8958779E-09
     0.9917604E+00     0.8958550E-09
     0.9917858E+00     0.8958321E-09
     0.9918112E+00     0.8958092E-09
     0.9918366E+00     0.8957862E-09
     0.9918621E+00     0.8957632E-09
     0.9918875E+00     0.8957402E-09
     0.9919130E+00     0.8957172E-09
     0.9919385E+00     0.8956942E-09
     0.9919641E+00     0.8956711E-09
     0.9919897E+00     0.8956480E-09
     0.9920152E+00     0.8956249E-09
     0.9920409E+00     0.8956018E-09
     0.9920665E+00     0.8955787E-09
     0.9920922E+00     0.8955555E-09
     0.9921178E+00     0.8955323E-09
     0.9921435E+00     0.8955091E-09
     0.9921693E+00     0.8954859E-09
     0.9921950E+00     0.8954626E-09
     0.9922208E+00     0.8954394E-09
     0.9922466E+00     0.8954161E-09
     0.9922724E+00     0.8953928E-09
     0.9922983E+00     0.8953695E-09
     0.9923241E+00     0.8953461E-09
     0.9923500E+00     0.8953228E-09
     0.9923760E+00     0.8952994E-09
     0.9924019E+00     0.8952760E-09
     0.9924279E+00     0.8952526E-09
     0.9924538E+00     0.8952291E-09
     0.9924798E+00     0.8952057E-09
     0.9925059E+00     0.8951822E-09
     0.9925319E+00     0.8951587E-09
     0.9925580E+00     0.8951352E-09
     0.9925841E+00     0.8951116E-09
     0.9926102E+00     0.8950881E-09
     0.9926363E+00     0.8950645E-09
     0.9926625E+00     0.8950409E-09
